State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Uttar Pradesh,AGRA,1998,32.58725597,35.03734288,98.57937867,263,27.187935,78.003944
Rajasthan,UDAIPUR,1998,66.84973378,189.1562951,114.9577707,306,24.57951,73.690508
Andhra Pradesh,VISHAKHAPATNAM,1998,36.7875,49.6625,117.2754677,312,17.704052,83.297663
Rajasthan,KOTA,1998,30,76.625,122.3744011,326,25.182544,75.839065
Delhi,DELHI,1998,136.75,295.2416667,356.9253366,952,28.651952,77.231495
Uttar Pradesh,GHAZIABAD,1998,31.9,21.15,61.18720056,163,28.665353,77.439148
Uttar Pradesh,VARANASI,1998,10.82941432,25.8096229,40.79146704,108,25.31774,83.005811
Tamil Nadu,COIMBATORE,1998,31.16941432,45.33,110.136961,293,11.005547,76.966122
Rajasthan,ALWAR,1998,73.28333333,266.4416667,163.1658682,435,27.566291,76.610202
Bihar,JAMSHEDPUR,1998,75,96.72857143,81.58293408,217,22.802776,86.185448
Rajasthan,JODHPUR,1998,12.20909091,43.41818182,118.6660859,316,26.26841,73.005943
Bihar,PATNA,1998,34.21666667,41.45,81.58293408,217,25.615379,85.101027
Madhya Pradesh,BHOPAL,1998,37.83333333,57.5,81.58293408,217,23.254688,77.402892
Odisha,TALCHER,1998,9.76,12.98,40.79146704,108,20.95,85.23
Haryana,FARIDABAD,1998,34.62727273,13.04545455,40.79146704,108,28.411236,77.313162
Chandigarh,CHANDIGARH,1998,10.5,17.49166667,81.58293408,217,30.736292,76.788398
Madhya Pradesh,BHILAI,1998,40.29608099,63,81.58293408,217,21.209188,81.428497
Karnataka,MYSORE,1998,62.59166667,54.025,81.58293408,217,12.292664,76.638543
Tamil Nadu,TUTICORIN,1998,40.71960955,39.13333333,117.8420159,314,8.805038,78.151884
Himachal Pradesh,SHIMLA,1999,6.508333333,15.55833333,81.58293408,217,31.104423,77.166623
Madhya Pradesh,RAIPUR,1999,18.9,72.44,81.58293408,217,21.233333,81.633333
Maharashtra,MUMBAI,1999,51.95833333,101.1,122.3744011,326,18.987807,72.836447
Madhya Pradesh,BHOPAL,1999,24.08706291,51.09539664,81.58293408,217,23.254688,77.402892
Gujarat,SURAT,1999,100.54,124.16,122.3744011,326,21.195944,72.830232
Karnataka,MYSORE,1999,62.12727273,54.22727273,81.58293408,217,12.292664,76.638543
Tamil Nadu,TUTICORIN,1999,17.07272727,31.51818182,122.3744011,326,8.805038,78.151884
Maharashtra,PUNE,1999,120.8636364,163.9545455,126.0827163,336,18.513271,73.849852
Odisha,TALCHER,1999,7.928922633,10.625,40.79146704,108,20.95,85.23
Bihar,PATNA,1999,23.625,28.54166667,74.78435624,199,25.615379,85.101027
Uttar Pradesh,GHAZIABAD,1999,27.57941432,39.64295623,61.18720056,163,28.665353,77.439148
Madhya Pradesh,BHILAI,1999,41.48941432,66.38,81.58293408,217,21.209188,81.428497
Tamil Nadu,SALEM,1999,3.866666667,25.36666667,40.79146704,108,11.651165,78.158672
Bihar,DHANBAD,1999,85.53333333,53.70833333,40.79146704,108,23.801988,86.443244
Meghalaya,SHILLONG,1999,0.925,3.266666667,40.79146704,108,25.573987,91.896807
Tamil Nadu,COIMBATORE,1999,14.68333333,42.625,122.3744011,326,11.005547,76.966122
Uttar Pradesh,VARANASI,1999,10.82941432,25.8096229,40.79146704,108,25.31774,83.005811
Madhya Pradesh,INDORE,1999,73.28,58.28,122.3744011,326,22.717736,75.85859
Tamil Nadu,MADURAI,1999,16.18,90.54,122.3744011,326,9.917347,78.119622
Gujarat,AHMEDABAD,1999,36.95833333,98.66666667,122.3744011,326,23.025793,72.587265
Bihar,JAMSHEDPUR,1999,101.5,114.5454545,81.58293408,217,22.802776,86.185448
Andhra Pradesh,VISHAKHAPATNAM,1999,50.35833333,44.76666667,122.3744011,326,17.704052,83.297663
Rajasthan,JODHPUR,1999,29.3,69.7125,122.3744011,326,26.26841,73.005943
Rajasthan,UDAIPUR,1999,83.675,235.2375,107.077601,285,24.57951,73.690508
Uttar Pradesh,LUCKNOW,1999,70.7,75.74166667,105.3779565,281,26.839281,80.923133
Rajasthan,JAIPUR,1999,36.30833333,151.2166667,142.7701346,380,26.913312,75.787872
Chandigarh,CHANDIGARH,1999,21.29804411,50.70177723,81.58293408,217,30.736292,76.788398
Andhra Pradesh,HYDERABAD,1999,79.1,134.225,244.7488022,652,17.384052,78.456355
Haryana,FARIDABAD,1999,51.55,18.05,61.18720056,163,28.411236,77.313162
Uttar Pradesh,AGRA,1999,29.73088576,48.2294972,118.9751122,317,27.187935,78.003944
Punjab,LUDHIANA,1999,57.15454545,110.4909091,114.9577707,306,30.912042,75.853789
Delhi,DELHI,1999,156.0083333,322.05,367.1232034,979,28.651952,77.231495
Rajasthan,ALWAR,1999,61.32,244.9,142.7701346,380,27.566291,76.610202
Gujarat,RAJKOT,1999,79.9,151.9,81.58293408,217,22.291606,70.793217
Himachal Pradesh,DAMTAL,1999,0.658333333,8.891666667,81.58293408,217,32.2258,75.6601
Rajasthan,KOTA,1999,11.26666667,46.30833333,105.3779565,281,25.182544,75.839065
Bihar,SINDRI,1999,69.14166667,45.95833333,40.79146704,108,23.7483,86.7059
Kerala,KOZHIKODE,1999,2.445454545,18.60909091,77.87461889,207,11.25,75.766667
Odisha,ROURKELA,1999,60.19656905,68.475,163.1658682,435,22.2,84.883333
Maharashtra,NAGPUR,1999,39.00833333,116.1083333,227.7523576,607,23.3,82.3
Maharashtra,NASHIK,1999,101.3416667,77.09166667,122.3744011,326,20.0110224,73.7903373
Maharashtra,SOLAPUR,1999,36.16666667,92.20833333,81.58293408,217,17.683333,75.916667
Maharashtra,CHANDRAPUR,1999,63.85833333,103.0916667,78.18364516,208,19.6,83.883333
Uttar Pradesh,KANPUR,1999,101.55,135.675,244.7488022,652,26.466667,80.35
Madhya Pradesh,KORBA,1999,14.28,20.34,40.79146704,108,22.35,82.683333
Madhya Pradesh,SATNA,1999,22.66,32.74,81.58293408,217,24.583333,80.833333
Punjab,JALANDHAR,1999,68.05,101.4166667,122.3744011,326,23.9,78.433333
Uttar Pradesh,NOIDA,1999,10.82941432,25.8096229,40.79146704,108,28.5726442,77.3547609
Kerala,PALAKKAD,1999,7.091666667,8.208333333,40.79146704,108,10.78,76.65
Gujarat,BHARUCH,1999,27.02706291,39.42769832,81.58293408,217,21.71,72.97
Tamil Nadu,MADRAS,1999,36.06363636,32.04545455,122.3744011,326,13.09,80.27
Kerala,KOTTAYAM,1999,0.908333333,30.35,40.79146704,108,9.6,76.52
Bihar,JHARIA,1999,79.69166667,50.56666667,40.79146704,108,23.76,86.42
Madhya Pradesh,NAGDA,1999,40.58,39.12,73.42464067,195,23.46,75.42
Haryana,YAMUNANAGAR,1999,11.21634129,17.63867939,40.79146704,108,30.14,77.28
Gujarat,VAPI,1999,133.98,78.1,81.58293408,217,20.37,72.9
Punjab,GOBINDGARH,1999,36.45833333,69.25,81.58293408,217,30.66,76.31
Chhattisgarh,KORBA,1999,13.38,17.46,40.79146704,108,22.35,82.683333
Karnataka,BANGALORE,1999,112.175,80.84166667,122.3744011,326,12.983333,77.583333
West Bengal,CALCUTTA,1999,128.35,89.73333333,122.3744011,326,22.57,88.36
Himachal Pradesh,PAONTASAHIB,1999,19.93725959,13.35833333,81.58293408,217,30.4453,77.6021
Maharashtra,THANE,1999,40.41666667,78.56666667,122.3744011,326,19.2,72.966667
Kerala,COCHIN,1999,81.20833333,100.6583333,217.5544909,580,9.9312,76.2673
Goa,PANJIM,1999,28.36,21.48,40.79146704,108,15.4909,73.8278
Puducherry,PONDICHERY,1999,102.525,106.4916667,101.9786676,272,11.9416,79.8083
Odisha,ANGUL,1999,9.512255967,5.958333333,40.79146704,108,20.8444,85.1511
Maharashtra,CHANDARPUR,1999,18.02727273,28.25454545,40.79146704,108,19.9615,79.2961
Kerala,TRIVENDRUM,1999,51.23333333,60.84166667,118.9751122,317,8.5241,76.9366
Gujarat,BARODA,1999,129.55,271.2,122.3744011,326,22.3072,73.1812
Uttar Pradesh,GAJROULA,1999,43.28333333,37.2596229,81.58293408,217,28.8382,78.2422
Gujarat,ANKLESHWAR,1999,103.425,83.075,81.58293408,217,21.6264,73.0152
Uttar Pradesh,DEHRADOON,1999,29.91666667,29.34166667,71.38506732,190,30.3165,78.0322
Uttar Pradesh,ANPARA,1999,113.0181818,118.1181818,77.87461889,207,24.2049,82.7832
Himachal Pradesh,PARWANOO,1999,15.2617679,32.775,81.58293408,217,30.8406,76.9584
Rajasthan,CHITTORGARH,1999,34.9,68.35,40.79146704,108,24.8829,74.623
Kerala,KOTTTAYAM,1999,0.925,24.98333333,40.79146704,108,9.5916,76.5222
Odisha,NALCO,1999,6.053922633,5.941666667,40.79146704,108,20.8653,85.1842
Maharashtra,DOMBIVLI,1999,62.73,53.38,77.50378738,206,19.2094,73.0939
West Bengal,CALCUTTA,2000,52.54166667,104.6666667,122.3744011,326,22.57,88.36
Haryana,YAMUNANAGAR,2000,18.58,9.31,40.79146704,108,30.14,77.28
Gujarat,BHARUCH,2000,28.41862979,39.30833333,81.58293408,217,21.71,72.97
Rajasthan,KOTA,2000,15.95,62.45,98.57937867,263,25.182544,75.839065
Kerala,KOTTAYAM,2000,0.633333333,23.30833333,40.79146704,108,9.6,76.52
Punjab,GOBINDGARH,2000,25.99166667,62.275,81.58293408,217,30.66,76.31
Tamil Nadu,COIMBATORE,2000,12.875,107.975,122.3744011,326,11.005547,76.966122
Punjab,LUDHIANA,2000,34.81666667,91.25,122.3744011,326,30.912042,75.853789
Madhya Pradesh,BHILAI,2000,28.81666667,62.15,81.58293408,217,21.209188,81.428497
Karnataka,MYSORE,2000,61.79166667,54.90833333,81.58293408,217,12.292664,76.638543
Odisha,TALCHER,2000,5.53,19.64,40.79146704,108,20.95,85.23
Rajasthan,UDAIPUR,2000,32.35424922,135.0555556,122.3744011,326,24.57951,73.690508
Madhya Pradesh,BHOPAL,2000,44.53333333,52.41666667,81.58293408,217,23.254688,77.402892
Bihar,JHARIA,2000,22.06666667,17.61666667,40.79146704,108,23.76,86.42
Tamil Nadu,MADRAS,2000,59.18578453,75.26746858,207.3566241,553,13.09,80.27
Haryana,FARIDABAD,2000,73.6,22.5,81.58293408,217,28.411236,77.313162
Himachal Pradesh,SHIMLA,2000,5.391666667,15.88333333,81.58293408,217,31.104423,77.166623
Uttar Pradesh,VARANASI,2000,18.95,17.55,40.79146704,108,25.31774,83.005811
Bihar,PATNA,2000,27,32.875,81.58293408,217,25.615379,85.101027
Bihar,DHANBAD,2000,17.64166667,19.05833333,40.79146704,108,23.801988,86.443244
West Bengal,HALDIA,2000,59.56666667,138.275,81.58293408,217,22.025278,88.058333
Andhra Pradesh,VISHAKHAPATNAM,2000,49.925,62.60833333,122.3744011,326,17.704052,83.297663
Bihar,JAMSHEDPUR,2000,99.30833333,98.725,81.58293408,217,22.802776,86.185448
Madhya Pradesh,SATNA,2000,22.42620391,29.38444261,77.87461889,207,24.583333,80.833333
Rajasthan,ALWAR,2000,75.33333333,257.9416667,159.7665793,426,27.566291,76.610202
Maharashtra,SOLAPUR,2000,38.3,93.03333333,81.58293408,217,17.683333,75.916667
Maharashtra,THANE,2000,42.575,64.53333333,122.3744011,326,19.2,72.966667
Kerala,KOZHIKODE,2000,2.177777778,19.6,81.58293408,217,11.25,75.766667
Assam,GUWAHATI,2000,7.208333333,43,40.79146704,108,26.176076,91.762932
Delhi,DELHI,2000,135.8083333,359.4416667,367.1232034,979,28.651952,77.231495
Andhra Pradesh,HYDERABAD,2000,74.78578453,152.3258019,244.7488022,652,17.384052,78.456355
Gujarat,AHMEDABAD,2000,25.425,86.18333333,122.3744011,326,23.025793,72.587265
Madhya Pradesh,RAIPUR,2000,20.85,74.91666667,81.58293408,217,21.233333,81.633333
Maharashtra,MUMBAI,2000,29.54166667,88,122.3744011,326,18.987807,72.836447
Chandigarh,CHANDIGARH,2000,21.65882864,51.6192458,81.58293408,217,30.736292,76.788398
Uttar Pradesh,GHAZIABAD,2000,66.2,56.40427684,81.58293408,217,28.665353,77.439148
Tamil Nadu,SALEM,2000,3.48,15.78,40.79146704,108,11.651165,78.158672
Tamil Nadu,TUTICORIN,2000,47.15490239,86.95,115.5758233,308,8.805038,78.151884
Kerala,COCHIN,2000,120.6333333,123.425,244.7488022,652,9.9312,76.2673
Odisha,ANGUL,2000,5.591666667,29.50833333,40.79146704,108,20.8444,85.1511
Himachal Pradesh,DAMTAL,2000,0.658333333,4.925,81.58293408,217,32.2258,75.6601
Bihar,SINDRI,2000,20.00909091,16.33636364,40.79146704,108,23.7483,86.7059
Goa,PANJIM,2000,50.61666667,29.14166667,40.79146704,108,15.4909,73.8278
Karnataka,BANGALORE,2000,59.2,120.0583333,118.9751122,317,12.983333,77.583333
Kerala,TRIVENDRUM,2000,44.10833333,72.14166667,122.3744011,326,8.5241,76.9366
Punjab,JALANDHAR,2000,64.25,88.725,122.3744011,326,23.9,78.433333
Odisha,ROURKELA,2000,56.5,78.45,163.1658682,435,22.2,84.883333
Madhya Pradesh,INDORE,2000,74.05,55.03333333,122.3744011,326,22.717736,75.85859
Uttar Pradesh,KANPUR,2000,97.73333333,140.3666667,214.1552019,571,26.466667,80.35
Maharashtra,NASHIK,2000,95.68,64.45,122.3744011,326,20.0110224,73.7903373
Chhattisgarh,KORBA,2000,13.54166667,18.33333333,40.79146704,108,22.35,82.683333
West Bengal,HOWRAH,2000,37.07142857,149.2714286,122.3744011,326,22.589167,88.310278
Maharashtra,CHANDRAPUR,2000,58.06666667,103.9083333,81.58293408,217,19.6,83.883333
Maharashtra,CHANDARPUR,2000,12.875,24.99166667,40.79146704,108,19.9615,79.2961
Madhya Pradesh,KORBA,2000,13.45,18.90833333,40.79146704,108,22.35,82.683333
Uttar Pradesh,ANPARA,2000,128.525,134.8,81.58293408,217,24.2049,82.7832
Odisha,NALCO,2000,6.175,22.225,40.79146704,108,20.8653,85.1842
Rajasthan,JAIPUR,2000,59.41666667,130.275,122.3744011,326,26.913312,75.787872
Tamil Nadu,MADURAI,2000,14.8875,87.7,122.3744011,326,9.917347,78.119622
Uttar Pradesh,LUCKNOW,2000,55.18333333,58.36666667,81.58293408,217,26.839281,80.923133
Maharashtra,PUNE,2000,124.2666667,166.75,115.5758233,308,18.513271,73.849852
Maharashtra,NAGPUR,2000,42.55833333,120.9,237.9502244,634,23.3,82.3
Uttar Pradesh,AGRA,2000,28.33186551,43.12709147,118.9751122,317,27.187935,78.003944
Meghalaya,SHILLONG,2000,1.15,7.758333333,47.59004488,126,25.573987,91.896807
Kerala,PALAKKAD,2000,22.13333333,57.28333333,40.79146704,108,10.78,76.65
Uttar Pradesh,DEHRADOON,2000,36.98578453,37.61746858,81.58293408,217,30.3165,78.0322
Himachal Pradesh,PAONTASAHIB,2000,1.860784527,15.85913524,81.58293408,217,30.4453,77.6021
Kerala,KOTTTAYAM,2000,0.766666667,25.81666667,40.79146704,108,9.5916,76.5222
Himachal Pradesh,PARWANOO,2000,3.316666667,20.15,81.58293408,217,30.8406,76.9584
Maharashtra,DOMBIVLI,2000,69.61428571,101.4571429,75.75558165,202,19.2094,73.0939
Puducherry,PONDICHERY,2000,20.85,27.20833333,44.19075596,117,11.9416,79.8083
Madhya Pradesh,NAGDA,2000,76.79166667,73.05833333,81.58293408,217,23.46,75.42
Uttar Pradesh,GAJROULA,2000,44.93903767,22.3917839,81.58293408,217,28.8382,78.2422
Haryana,YAMUNANAGAR,2001,22.15833333,12.075,40.79146704,108,30.14,77.28
Madhya Pradesh,NAGDA,2001,69.76363636,74.81818182,81.58293408,217,23.46,75.42
Uttar Pradesh,KANPUR,2001,104.8,154.9333333,244.7488022,652,26.466667,80.35
Madhya Pradesh,KORBA,2001,12.69313811,22.86154097,40.79146704,108,22.35,82.683333
Maharashtra,CHANDRAPUR,2001,52.85,103.4333333,81.58293408,217,19.6,83.883333
Bihar,JHARIA,2001,17.38333333,38.09166667,40.79146704,108,23.76,86.42
Punjab,JALANDHAR,2001,58.53333333,77.66666667,122.3744011,326,23.9,78.433333
Kerala,KOZHIKODE,2001,3.666666667,16.3,74.78435624,199,11.25,75.766667
Karnataka,BANGALORE,2001,59.30833333,69.29166667,122.3744011,326,12.983333,77.583333
West Bengal,CALCUTTA,2001,53.15,219.2916667,122.3744011,326,22.57,88.36
Punjab,GOBINDGARH,2001,23.775,68.275,81.58293408,217,30.66,76.31
Kerala,PALAKKAD,2001,15.17272727,23.24545455,40.79146704,108,10.78,76.65
Maharashtra,NAGPUR,2001,48.50833333,103.9416667,231.1516465,616,23.3,82.3
Gujarat,BHARUCH,2001,26.42941432,35.76363636,81.58293408,217,21.71,72.97
Tamil Nadu,MADRAS,2001,89.99166667,104.125,234.5509354,625,13.09,80.27
Maharashtra,NASHIK,2001,79.075,63.425,122.3744011,326,20.0110224,73.7903373
Odisha,ROURKELA,2001,40.62647144,70.2198743,163.1658682,435,22.2,84.883333
Madhya Pradesh,SATNA,2001,20.38181818,24.15454545,74.16630371,197,24.583333,80.833333
Maharashtra,THANE,2001,61.4,55.625,122.3744011,326,19.2,72.966667
West Bengal,HOWRAH,2001,31.76363636,177.7,122.3744011,326,22.589167,88.310278
Chhattisgarh,KORBA,2001,12.01813811,22.0948743,40.79146704,108,22.35,82.683333
Kerala,KOTTAYAM,2001,2,12.35833333,40.79146704,108,9.6,76.52
Maharashtra,SOLAPUR,2001,39.18333333,93.175,81.58293408,217,17.683333,75.916667
Delhi,DELHI,2001,106.525,321.8666667,336.5296031,897,28.651952,77.231495
Tamil Nadu,COIMBATORE,2001,29.41618222,113.925,122.3744011,326,11.005547,76.966122
Andhra Pradesh,VISHAKHAPATNAM,2001,37.31666667,62,112.1765343,299,17.704052,83.297663
Andhra Pradesh,HYDERABAD,2001,67.69166667,175.175,244.7488022,652,17.384052,78.456355
Karnataka,MYSORE,2001,45.42,61.74,81.58293408,217,12.292664,76.638543
Rajasthan,JAIPUR,2001,59.49166667,174,224.3530687,598,26.913312,75.787872
Madhya Pradesh,INDORE,2001,61.69090909,42.31818182,122.3744011,326,22.717736,75.85859
Rajasthan,UDAIPUR,2001,20.36323572,107.2727677,122.3744011,326,24.57951,73.690508
Uttar Pradesh,GHAZIABAD,2001,33.29265004,50.77789338,81.58293408,217,28.665353,77.439148
Tamil Nadu,SALEM,2001,4.254545455,9.281818182,40.79146704,108,11.651165,78.158672
Punjab,LUDHIANA,2001,36.2,94.44166667,122.3744011,326,30.912042,75.853789
Uttar Pradesh,AGRA,2001,26.46149872,31.7507034,100.12451,267,27.187935,78.003944
Tamil Nadu,MADURAI,2001,16.81666667,92.01666667,122.3744011,326,9.917347,78.119622
Uttar Pradesh,GAJROULA,2001,60.33333333,26.93333333,78.18364516,208,28.8382,78.2422
Bihar,DHANBAD,2001,17.42727273,36.94545455,40.79146704,108,23.801988,86.443244
Bihar,SINDRI,2001,17.85833333,42.33333333,40.79146704,108,23.7483,86.7059
Odisha,NALCO,2001,6.316666667,22.93333333,40.79146704,108,20.8653,85.1842
Himachal Pradesh,PAONTASAHIB,2001,4,16.3,81.58293408,217,30.4453,77.6021
Himachal Pradesh,DAMTAL,2001,6.558333333,30.20833333,81.58293408,217,32.2258,75.6601
Kerala,KOTTTAYAM,2001,2,16.36666667,40.79146704,108,9.5916,76.5222
Goa,PANJIM,2001,46.02727273,32.94545455,40.79146704,108,15.4909,73.8278
Uttar Pradesh,DEHRADOON,2001,39.68333333,41.20833333,81.58293408,217,30.3165,78.0322
Odisha,ANGUL,2001,10.71666667,26.56666667,40.79146704,108,20.8444,85.1511
Kerala,TRIVENDRUM,2001,33.675,50.78333333,122.3744011,326,8.5241,76.9366
Uttar Pradesh,ANPARA,2001,104.575,117.0416667,81.58293408,217,24.2049,82.7832
Kerala,COCHIN,2001,78.61666667,79.35,231.1516465,616,9.9312,76.2673
Puducherry,PONDICHERY,2001,37.80784527,60.85048766,118.9751122,317,11.9416,79.8083
Himachal Pradesh,PARWANOO,2001,8.133333333,29.53333333,81.58293408,217,30.8406,76.9584
Maharashtra,CHANDARPUR,2001,11.36666667,25.05,40.79146704,108,19.9615,79.2961
Bihar,JAMSHEDPUR,2001,87.72727273,104.3909091,81.58293408,217,22.802776,86.185448
Himachal Pradesh,SHIMLA,2001,6.983333333,26.175,81.58293408,217,31.104423,77.166623
Haryana,FARIDABAD,2001,46.39166667,30.25833333,81.58293408,217,28.411236,77.313162
Meghalaya,SHILLONG,2001,8.896569053,19.89327048,81.58293408,217,25.573987,91.896807
Uttar Pradesh,LUCKNOW,2001,67.35668705,87.05507745,122.3744011,326,26.839281,80.923133
Rajasthan,ALWAR,2001,73,246.4083333,159.7665793,426,27.566291,76.610202
Gujarat,AHMEDABAD,2001,30.88333333,118.1166667,122.3744011,326,23.025793,72.587265
Rajasthan,JODHPUR,2001,27.4125,54.4,122.3744011,326,26.26841,73.005943
Uttar Pradesh,VARANASI,2001,11.23333333,11.75,40.79146704,108,25.31774,83.005811
West Bengal,HALDIA,2001,29.975,100.7916667,81.58293408,217,22.025278,88.058333
Bihar,PATNA,2001,26.13333333,30.64166667,81.58293408,217,25.615379,85.101027
Madhya Pradesh,BHILAI,2001,30.26363636,60.07272727,81.58293408,217,21.209188,81.428497
Madhya Pradesh,BHOPAL,2001,48.96363636,55.49090909,81.58293408,217,23.254688,77.402892
Madhya Pradesh,RAIPUR,2001,19.3,78.25,81.58293408,217,21.233333,81.633333
Maharashtra,MUMBAI,2001,35.20833333,81.45833333,122.3744011,326,18.987807,72.836447
Odisha,TALCHER,2001,6.658333333,30.53333333,40.79146704,108,20.95,85.23
Rajasthan,KOTA,2001,20.7,80.125,122.3744011,326,25.182544,75.839065
Assam,GUWAHATI,2001,3.708333333,19.575,40.79146704,108,26.176076,91.762932
Chandigarh,CHANDIGARH,2001,21.65882864,51.6192458,81.58293408,217,30.736292,76.788398
Maharashtra,PUNE,2001,130.5666667,226.2333333,122.3744011,326,18.513271,73.849852
Madhya Pradesh,KORBA,2002,12.07892263,22.62067621,40.79146704,108,22.35,82.683333
Maharashtra,CHANDRAPUR,2002,33.26666667,82.675,81.58293408,217,19.6,83.883333
Punjab,JALANDHAR,2002,37.975,72.85,122.3744011,326,23.9,78.433333
Odisha,ROURKELA,2002,33.50833333,55.88333333,163.1658682,435,22.2,84.883333
Maharashtra,SOLAPUR,2002,39.825,94.075,81.58293408,217,17.683333,75.916667
Tamil Nadu,MADURAI,2002,26.375,93.20833333,122.3744011,326,9.917347,78.119622
Rajasthan,JAIPUR,2002,64.73333333,198.75,234.5509354,625,26.913312,75.787872
Rajasthan,ALWAR,2002,70.125,194.9916667,156.3672904,417,27.566291,76.610202
Rajasthan,JODHPUR,2002,23.54,47.45,122.3744011,326,26.26841,73.005943
Meghalaya,SHILLONG,2002,7.88,19.03,81.58293408,217,25.573987,91.896807
Himachal Pradesh,SHIMLA,2002,9.783333333,36.33333333,81.58293408,217,31.104423,77.166623
Tamil Nadu,SALEM,2002,5.291666667,21.03333333,40.79146704,108,11.651165,78.158672
West Bengal,HALDIA,2002,14.875,51.525,81.58293408,217,22.025278,88.058333
Maharashtra,NASHIK,2002,77.35833333,60.58333333,122.3744011,326,20.0110224,73.7903373
Maharashtra,THANE,2002,53.85,55.64166667,122.3744011,326,19.2,72.966667
Tamil Nadu,MADRAS,2002,124.7916667,99.20833333,244.7488022,652,13.09,80.27
Haryana,YAMUNANAGAR,2002,28.99166667,16.975,40.79146704,108,30.14,77.28
Gujarat,VAPI,2002,49.7,73.66,81.58293408,217,20.37,72.9
Kerala,KOTTAYAM,2002,2,6.254545455,40.79146704,108,9.6,76.52
Gujarat,BHARUCH,2002,11.96666667,29.09166667,81.58293408,217,21.71,72.97
Kerala,PALAKKAD,2002,3.6,7.15,40.79146704,108,10.78,76.65
Bihar,JHARIA,2002,16.82549048,62.93440254,40.79146704,108,23.76,86.42
Punjab,GOBINDGARH,2002,18.78181818,56.6,74.16630371,197,30.66,76.31
Madhya Pradesh,NAGDA,2002,53.44166667,58.80833333,81.58293408,217,23.46,75.42
Madhya Pradesh,SATNA,2002,15.03333333,18.33333333,81.58293408,217,24.583333,80.833333
West Bengal,CALCUTTA,2002,34.35833333,244.9916667,122.3744011,326,22.57,88.36
Gujarat,JAMNAGAR,2002,12.86,26.98,40.79146704,108,22.466667,70.066667
Haryana,FARIDABAD,2002,25.85,53.13333333,81.58293408,217,28.411236,77.313162
Bihar,PATNA,2002,25.76666667,30.98333333,81.58293408,217,25.615379,85.101027
Rajasthan,KOTA,2002,16.625,59.31666667,122.3744011,326,25.182544,75.839065
Bihar,JAMSHEDPUR,2002,85.24166667,112.5833333,81.58293408,217,22.802776,86.185448
Gujarat,AHMEDABAD,2002,46.21666667,146.225,173.3637349,462,23.025793,72.587265
Bihar,DHANBAD,2002,16.51428571,53.58571429,40.79146704,108,23.801988,86.443244
Gujarat,RAJKOT,2002,13.525,29.575,40.79146704,108,22.291606,70.793217
Tamil Nadu,TUTICORIN,2002,31.86363636,43.07272727,118.6660859,316,8.805038,78.151884
Karnataka,MYSORE,2002,40.6,55.16666667,81.58293408,217,12.292664,76.638543
Chhattisgarh,KORBA,2002,11.9925143,21.68531742,40.79146704,108,22.35,82.683333
Uttar Pradesh,AGRA,2002,10.22857143,20.67142857,75.75558165,202,27.187935,78.003944
Odisha,TALCHER,2002,9.541666667,27.14166667,40.79146704,108,20.95,85.23
Madhya Pradesh,BHOPAL,2002,31.09166667,42.675,81.58293408,217,23.254688,77.402892
Maharashtra,MUMBAI,2002,27.30833333,51.875,122.3744011,326,18.987807,72.836447
Madhya Pradesh,INDORE,2002,33.96225597,75.74567621,122.3744011,326,22.717736,75.85859
Madhya Pradesh,BHILAI,2002,24.84294143,50.64096229,81.58293408,217,21.209188,81.428497
Punjab,LUDHIANA,2002,19.78333333,55.125,67.98577839,181,30.912042,75.853789
Gujarat,SURAT,2002,56.18,72.7,114.2161077,304,21.195944,72.830232
Chandigarh,CHANDIGARH,2002,16.95147144,22.55240573,81.58293408,217,30.736292,76.788398
Andhra Pradesh,HYDERABAD,2002,43.475,153.825,244.7488022,652,17.384052,78.456355
Delhi,DELHI,2002,85.75490239,287.7849371,319.5331585,852,28.651952,77.231495
Himachal Pradesh,PARWANOO,2002,7.033333333,29.70833333,81.58293408,217,30.8406,76.9584
Himachal Pradesh,DAMTAL,2002,7.35,33.975,81.58293408,217,32.2258,75.6601
Odisha,ANGUL,2002,16.90245119,18.24246858,40.79146704,108,20.8444,85.1511
Himachal Pradesh,PAONTASAHIB,2002,3.9,16.95,81.58293408,217,30.4453,77.6021
Odisha,NALCO,2002,14.82727273,14.5,40.79146704,108,20.8653,85.1842
Maharashtra,CHANDARPUR,2002,9.233333333,25.43333333,40.79146704,108,19.9615,79.2961
Bihar,SINDRI,2002,13.85424922,47.33654097,40.79146704,108,23.7483,86.7059
Gujarat,ANKLESHWAR,2002,36.92,52.92,81.58293408,217,21.6264,73.0152
Kerala,KOTTTAYAM,2002,2,10.575,40.79146704,108,9.5916,76.5222
Kerala,COCHIN,2002,76.13333333,59.325,234.5509354,625,9.9312,76.2673
Gujarat,BARODA,2002,64.56,80.24,122.3744011,326,22.3072,73.1812
Uttar Pradesh,DEHRADOON,2002,35.21911786,42.11746858,81.58293408,217,30.3165,78.0322
Uttar Pradesh,ANPARA,2002,59.65833333,83.7,81.58293408,217,24.2049,82.7832
Uttar Pradesh,GAJROULA,2002,58.18627621,35.48894669,81.58293408,217,28.8382,78.2422
Kerala,TRIVENDRUM,2002,36.76666667,40.825,122.3744011,326,8.5241,76.9366
Puducherry,PONDICHERY,2002,49.51078453,39.08413524,122.3744011,326,11.9416,79.8083
Goa,PANJIM,2002,28.2,37.775,40.79146704,108,15.4909,73.8278
